Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04145:Phagosome	10	13.88888888888889	7.073882256635425E-8	COLEC12, TUBB6, ITGAM, MRC1, CYBB, CD36, SFTPA1, ITGA5, FCGR2B, ATP6V0D2	44	159	8534	12.198399085191538	9.266743148828027E-6	9.266785756192406E-6	9.266785756192406E-6
KEGG_PATHWAY	hsa03320:PPAR signaling pathway	5	6.944444444444445	5.509789180592862E-4	FABP3, ME1, LPL, PPARG, CD36	44	76	8534	12.760167464114833	0.06965345193448491	0.03608911913288324	0.03608911913288324
KEGG_PATHWAY	hsa04142:Lysosome	5	6.944444444444445	0.004347332235126311	NAPSA, DNASE2B, AP1S2, ACP5, ATP6V0D2	44	133	8534	7.2915242652084755	0.4348940403697754	0.14291738582989602	0.14291738582989602
KEGG_PATHWAY	hsa05417:Lipid and atherosclerosis	6	8.333333333333332	0.004363889643660948	CYP1A1, CYBB, CCL2, LY96, PPARG, CD36	44	216	8534	5.387626262626262	0.4361237889382519	0.14291738582989602	0.14291738582989602
KEGG_PATHWAY	hsa04380:Osteoclast differentiation	5	6.944444444444445	0.005620616722683519	ACP5, TREM2, LILRB1, PPARG, FCGR2B	44	143	8534	6.781627463445645	0.5221114866419305	0.1472601581343082	0.1472601581343082
KEGG_PATHWAY	hsa05133:Pertussis	4	5.555555555555555	0.006971572487571195	ITGAM, LY96, SFTPA1, ITGA5	44	78	8534	9.946386946386946	0.600073442308376	0.15221266597863775	0.15221266597863775
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	4	5.555555555555555	0.010016143684657445	COL6A2, SPP1, CD36, ITGA5	44	89	8534	8.7170582226762	0.7325252738418357	0.18744497467001792	0.18744497467001792
KEGG_PATHWAY	hsa04061:Viral protein interaction with cytokine and cytokine receptor	4	5.555555555555555	0.013727056098221599	CCL13, CCL8, CCL7, CCL2	44	100	8534	7.758181818181818	0.8364605076068468	0.22478054360837868	0.22478054360837868
KEGG_PATHWAY	hsa05152:Tuberculosis	4	5.555555555555555	0.06325247473891885	ITGAM, MRC1, FCGR2B, ATP6V0D2	44	182	8534	4.262737262737263	0.99980832978486	0.8010765237758248	0.8010765237758248
KEGG_PATHWAY	hsa04610:Complement and coagulation cascades	3	4.166666666666666	0.07231857744092052	ITGAM, C7, VSIG4	44	88	8534	6.612086776859504	0.9999463894066692	0.8010765237758248	0.8010765237758248
KEGG_PATHWAY	hsa04062:Chemokine signaling pathway	4	5.555555555555555	0.0727174221516022	CCL13, CCL8, CCL7, CCL2	44	193	8534	4.019783325482807	0.9999493260076666	0.8010765237758248	0.8010765237758248
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	3	4.166666666666666	0.08253404086763434	ACP5, CCL2, ATP6V0D2	44	95	8534	6.124880382775119	0.9999874314638392	0.8010765237758248	0.8010765237758248
KEGG_PATHWAY	hsa04640:Hematopoietic cell lineage	3	4.166666666666666	0.09008861039185036	ITGAM, CD36, ITGA5	44	100	8534	5.8186363636363625	0.9999957451695045	0.8010765237758248	0.8010765237758248
KEGG_PATHWAY	hsa04933:AGE-RAGE signaling pathway in diabetic complications	3	4.166666666666666	0.09162376877116671	COL3A1, CYBB, CCL2	44	101	8534	5.761026102610261	0.9999965895255319	0.8010765237758248	0.8010765237758248
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	3	4.166666666666666	0.0978414074840702	CCL13, BCL2A1, LY96	44	105	8534	5.541558441558442	0.9999986130571277	0.8010765237758248	0.8010765237758248
KEGG_PATHWAY	hsa04974:Protein digestion and absorption	3	4.166666666666666	0.0978414074840702	COL3A1, COL15A1, COL6A2	44	105	8534	5.541558441558442	0.9999986130571277	0.8010765237758248	0.8010765237758248
